FINANCIAL_YEAR,SALES,Man_Power,AVAILABLE_HOURS,INC_SMH,Efficiency,SMH,Booked,SMH_LACS
2015-16,1600,751,1520775,1950000,133.94,1081236,807238,1387571.87
2016-17,1700,715,1447875,2005000,130.56,1658971,1270683,2177446.71
2017-18,1800,679,1374975,2075000,126.63,1695976,1339365,1825899.05
2018-19,1900,665,1346625,1920000,129.91,1694311,1304248,2058365.08
2019-20,2100,626,1267650,1940000,127.81,1555113,1216693,1242871.86
2020-21,2400,620,1255500,2100000,120.88,1270566,1051140,518007.85
2021-22,2800,598,1210950,2200000,117.78,1332885,1131675,300011.01
2022-23,3400,577,1168425,2300000,114.19,1292760,1132132,422612.79
2023-24,3600,575,1164375,2400000,120.26,1338896,1113312,487227.2
2024-25,4000,565,1144125,,,,1114523,
2025-26,4500,550,1113750,,,,1002563,
2026-27,5000,520,1053000,,,,956253,
2027-28,5600,500,1012500,,,,965425,
2028-29,6200,490,992250,,,,972356,
2029-30,7000,480,972000,,,,952635,
